,Shown Card,Win,Push,Num Hits,BlackJack,Final Total,Initial Total,Dealer Final Total,Dealer BlackJack,Bust,Dealer Bust
0,8,True,False,1,False,21,12,23,False,False,True
0,9,False,False,2,False,25,12,17,False,True,False
0,12,False,False,3,False,25,10,20,False,True,False
0,9,True,False,0,True,21,11,22,False,False,True
0,10,False,False,0,False,16,6,21,True,False,False
0,3,False,False,0,False,12,12,17,False,False,False
0,3,True,False,2,False,16,8,22,False,False,True
0,8,False,False,1,False,24,14,17,False,True,False
0,11,False,False,0,False,18,18,19,False,False,False
0,4,True,False,0,True,21,11,17,False,False,False
0,11,False,True,1,False,19,14,19,False,False,False
0,11,False,False,0,False,17,17,21,True,False,False
0,9,False,False,1,False,24,14,19,False,True,False
0,2,False,False,0,False,16,16,19,False,False,False
0,3,False,False,0,False,20,20,21,True,False,False
0,5,True,False,0,True,21,11,26,False,False,True
0,3,False,False,1,False,12,6,19,False,False,False
0,13,False,False,1,False,18,16,20,False,False,False
0,12,False,False,0,False,20,20,21,True,False,False
0,2,True,False,0,False,20,20,19,False,False,False
0,1,False,False,0,False,13,13,21,True,False,False
0,5,True,False,0,False,20,20,25,False,False,True
0,4,False,False,0,False,17,17,19,False,False,False
0,10,True,False,0,True,21,11,25,False,False,True
0,8,True,False,0,False,19,19,18,False,False,False
0,11,False,False,1,False,22,14,24,False,True,True
0,7,False,False,1,False,22,14,20,False,True,False
0,5,True,False,0,False,19,19,24,False,False,True
0,10,False,False,3,False,22,8,20,False,True,False
0,10,False,False,1,False,23,3,20,False,True,False
0,6,False,False,0,False,14,14,18,False,False,False
0,2,True,False,0,False,14,14,22,False,False,True
0,1,False,False,0,False,18,18,19,False,False,False
0,10,True,False,1,False,19,14,23,False,False,True
0,7,False,False,2,False,24,10,20,False,True,False
0,1,False,False,1,False,23,13,20,False,True,False
0,11,False,False,1,False,24,16,24,False,True,True
0,2,False,False,0,False,13,13,21,True,False,False
0,13,False,False,2,False,26,6,17,False,True,False
0,10,True,False,1,False,19,15,23,False,False,True
0,1,False,False,0,False,18,18,21,True,False,False
0,10,True,False,0,False,19,19,17,False,False,False
0,7,True,False,0,False,20,20,17,False,False,False
0,6,False,False,2,False,13,8,17,False,False,False
0,2,True,False,0,False,17,7,22,False,False,True
0,6,True,False,1,False,21,11,19,False,False,False
0,3,False,False,0,False,16,16,21,True,False,False
0,11,False,False,2,False,23,6,19,False,True,False
0,4,True,False,0,True,21,11,26,False,False,True
0,11,True,False,0,False,18,18,23,False,False,True
0,3,False,True,1,False,17,7,17,False,False,False
0,9,False,False,4,False,17,13,19,False,False,False
0,9,False,False,1,False,23,13,17,False,True,False
0,11,False,False,3,False,24,11,25,False,True,True
0,9,True,False,2,False,20,8,17,False,False,False
0,6,True,False,0,False,12,12,23,False,False,True
0,8,True,False,1,False,17,9,22,False,False,True
0,2,True,False,2,False,16,6,23,False,False,True
0,8,False,False,1,False,17,10,18,False,False,False
0,6,False,False,0,False,16,16,19,False,False,False
0,4,False,False,0,False,13,13,21,True,False,False
0,2,False,False,1,False,15,10,20,False,False,False
0,10,True,False,1,False,20,13,22,False,False,True
0,8,False,False,1,False,26,16,17,False,True,False
0,13,False,False,1,False,22,15,17,False,True,False
0,12,False,False,1,False,18,14,20,False,False,False
0,12,False,True,0,False,17,7,17,False,False,False
0,6,False,False,0,False,15,15,17,False,False,False
0,3,True,False,0,False,15,5,23,False,False,True
0,3,False,False,0,False,14,4,18,False,False,False
0,5,True,False,0,False,20,20,19,False,False,False
0,3,True,False,1,False,16,6,25,False,False,True
0,9,False,False,0,False,18,18,20,False,False,False
0,4,False,False,1,False,12,11,18,False,False,False
0,11,False,False,0,False,15,15,21,True,False,False
0,2,True,False,0,False,12,12,22,False,False,True
0,9,False,False,0,False,17,17,19,False,False,False
0,13,True,False,0,False,20,20,17,False,False,False
0,13,True,False,0,False,19,19,18,False,False,False
0,6,False,False,0,False,12,12,21,True,False,False
0,1,False,False,0,False,20,20,21,True,False,False
